CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
16	21638	3063553	0.70	3085191
17	20994	3044701	0.68	3065695
18	20513	3018497	0.67	3039010
19	20357	2986995	0.68	3007352
20	20116	2959520	0.68	2979636
21	19730	2930616	0.67	2950346
22	19667	2901491	0.67	2921158
23	19154	2867508	0.66	2886662
24	19127	2833640	0.67	2852767
25	18825	2802774	0.67	2821599
26	18956	2769985	0.68	2788941
27	19062	2743283	0.69	2762345
28	18416	2718990	0.67	2737406
29	17951	2688425	0.66	2706376
30	17562	2664364	0.65	2681926
31	18033	2628862	0.68	2646895
32	17284	2602560	0.66	2619844
33	17778	2566196	0.69	2583974
34	18290	2536582	0.72	2554872
35	16754	2509494	0.66	2526248
36	16469	2480833	0.66	2497302
37	16393	2448574	0.67	2464967
38	16362	2419822	0.67	2436184
39	16490	2394964	0.68	2411454
40	15977	2363163	0.67	2379140
41	16134	2337559	0.69	2353693
42	16464	2309419	0.71	2325883
43	16328	2281455	0.71	2297783
44	15223	2253475	0.67	2268698
45	15311	2226116	0.68	2241427
46	14938	2200080	0.67	2215018
47	14977	2172875	0.68	2187852
48	14610	2147169	0.68	2161779
49	14395	2120136	0.67	2134531
50	14244	2092797	0.68	2107041
51	13767	2068118	0.66	2081885
52	14261	2042848	0.69	2057109
53	14601	2012541	0.72	2027142
54	13684	1993581	0.68	2007265
55	14157	1968827	0.71	1982984
56	13252	1942451	0.68	1955703
57	12938	1915677	0.67	1928615
58	12960	1895402	0.68	1908362
59	13018	1872416	0.69	1885434
60	12871	1848502	0.69	1861373
61	12566	1826118	0.68	1838684
62	12562	1801671	0.69	1814233
63	12386	1780837	0.69	1793223
64	12072	1755766	0.68	1767838
65	11905	1728384	0.68	1740289
66	11874	1708683	0.69	1720557
67	11772	1691753	0.69	1703525
68	11699	1667038	0.70	1678737
69	11700	1650073	0.70	1661773
70	11403	1628478	0.70	1639881
71	11476	1608137	0.71	1619613
72	11307	1586535	0.71	1597842
73	11774	1564135	0.75	1575909
74	11596	1547625	0.74	1559221
75	11562	1525054	0.75	1536616
76	11280	1506626	0.74	1517906
77	10967	1491179	0.73	1502146
78	10895	1472553	0.73	1483448
79	10542	1453499	0.72	1464041
80	10299	1437258	0.71	1447557
81	10503	1419498	0.73	1430001
82	10084	1402895	0.71	1412979
83	10155	1383015	0.73	1393170
84	9831	1366116	0.71	1375947
85	9758	1349648	0.72	1359406
86	9772	1331661	0.73	1341433
87	9337	1314966	0.71	1324303
88	9444	1298880	0.72	1308324
89	9382	1282529	0.73	1291911
90	9565	1265078	0.75	1274643
91	9305	1250225	0.74	1259530
92	9105	1234874	0.73	1243979
93	9089	1220443	0.74	1229532
94	9024	1202899	0.74	1211923
95	9010	1187238	0.75	1196248
96	8927	1172735	0.76	1181662
97	8683	1158700	0.74	1167383
98	8609	1144985	0.75	1153594
99	8841	1126809	0.78	1135650
100	8410	1114483	0.75	1122893
101	8473	1102739	0.76	1111212
102	8412	1086118	0.77	1094530
103	8085	1073781	0.75	1081866
104	8328	1062639	0.78	1070967
105	7992	1047123	0.76	1055115
106	8024	1033632	0.77	1041656
107	7916	1020563	0.77	1028479
108	7916	1006519	0.78	1014435
109	7937	991966	0.79	999903
110	7689	982637	0.78	990326
111	7675	970342	0.78	978017
112	7542	954470	0.78	962012
113	7564	945243	0.79	952807
114	7385	933553	0.78	940938
115	7361	920916	0.79	928277
116	7296	909539	0.80	916835
117	7322	896869	0.81	904191
118	7047	887557	0.79	894604
119	7095	875162	0.80	882257
120	7187	863172	0.83	870359
121	7058	851581	0.82	858639
122	6969	842144	0.82	849113
123	6899	831162	0.82	838061
124	6825	821623	0.82	828448
125	6694	809060	0.82	815754
126	6655	798175	0.83	804830
127	6623	788116	0.83	794739
128	6957	777425	0.89	784382
129	6687	769989	0.86	776676
130	6695	760913	0.87	767608
131	6944	749393	0.92	756337

