Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
270M_1 - illumina_universal_adapter	(1, 0.1419198983036215)	(2, 0.1444736265613976)	(3, 0.17033587455958812)	(4, 0.17142175901062368)	(5, 0.17997784855713503)	(6, 0.1894258431960255)	(7, 0.19421033407835073)	(8, 0.19672306669847262)	(9, 0.19832989571579687)	(10, 0.20283101675150744)	(15, 0.20941711592469442)	(20, 0.21716089190949192)	(25, 0.22962456564996922)	(30, 0.24427600659013873)	(35, 0.2565620992270213)	(40, 0.26915835885903383)	(45, 0.28347243569811736)	(50, 0.3005088228561599)	(55, 0.3209038526210426)	(60, 0.3455106342134134)	(65, 0.37567022493136504)	(70, 0.4135773912297992)	(75, 0.4617694631114303)	(80, 0.5244347948934754)	(85, 0.6064026726915989)	(90, 0.7159428165248937)	(95, 0.8626964004760254)	(100, 1.0617020242875954)	(105, 1.3325656016943237)	(110, 1.6966250621271388)	(115, 2.183647238097394)	(120, 2.8263550475593897)	(125, 3.659364407033448)	(130, 4.718791073441875)	(135, 6.034006721344781)	(140, 6.941950307067825)
270M_1 - polya	(1, 0.007063248399737784)	(2, 0.009437995702877258)	(3, 0.011713753539485863)	(4, 0.014642441897757659)	(5, 0.018010083547009764)	(6, 0.021622699128585728)	(7, 0.025638271831494412)	(8, 0.029079905607244334)	(9, 0.03267252331679386)	(10, 0.04183314853466443)	(15, 0.05713612014545533)	(20, 0.07199313921005666)	(25, 0.08604204426606965)	(30, 0.09968019303065961)	(35, 0.11380868961733781)	(40, 0.12786979337528695)	(45, 0.14256542961263494)	(50, 0.1568765067709145)	(55, 0.17051885508863002)	(60, 0.18402801757864945)	(65, 0.19783574829802358)	(70, 0.21210283013784506)	(75, 0.223936170952049)	(80, 0.23575691310687633)	(85, 0.247513662071219)	(90, 0.2595195845210111)	(95, 0.2712377375923428)	(100, 0.2833748460826283)	(105, 0.29617928356243617)	(110, 0.3090237167862968)	(115, 0.3218445525211662)	(120, 0.33409224924375797)	(125, 0.3459377887598981)	(130, 0.3577543313615998)	(135, 0.3690393305248389)	(140, 0.3755920332517417)
270M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007259227545596873)	(4, 0.0010688862598130934)	(5, 0.0014108498714651774)	(6, 0.0017038186966524891)	(7, 0.0020337835850887105)	(8, 0.0023177533678641255)	(9, 0.0026167215546593686)	(10, 0.0035998169434790445)	(15, 0.005661397570684503)	(20, 0.007841565579006737)	(25, 0.009744763059762811)	(30, 0.011825741622833914)	(35, 0.013802731251367542)	(40, 0.015939903834832937)	(45, 0.019176359443591605)	(50, 0.0226119938577336)	(55, 0.025017937841234312)	(60, 0.02758606456686944)	(65, 0.03711125099178196)	(70, 0.11389048091392595)	(75, 0.19227833966187657)	(80, 0.2102786242515934)	(85, 0.22033335432776596)	(90, 0.23308619729774555)	(95, 0.2511136789934183)	(100, 0.27185787160388264)	(105, 0.29112802106727825)	(110, 0.30930288707978587)	(115, 0.3268886157823946)	(120, 0.3465243263464335)	(125, 0.36970885928028396)	(130, 0.39713474089222167)	(135, 0.42999724399326666)	(140, 0.4524748521509826)
270M_2 - illumina_universal_adapter	(1, 0.10832747287361152)	(2, 0.11088020123778629)	(3, 0.1366514589182565)	(4, 0.1377293442204815)	(5, 0.14623343929972413)	(6, 0.1556494373433723)	(7, 0.16047792354415566)	(8, 0.1630236526531212)	(9, 0.16473247081778028)	(10, 0.17097320674107067)	(15, 0.18477073854571135)	(20, 0.2021116932947165)	(25, 0.22011957707580337)	(30, 0.2335439485884307)	(35, 0.24446018699150224)	(40, 0.25651230452567547)	(45, 0.27073539104703864)	(50, 0.2876567904409292)	(55, 0.30793403273957615)	(60, 0.3323376359521583)	(65, 0.36215146346277294)	(70, 0.3996972682136894)	(75, 0.44746898482532477)	(80, 0.5093739975129246)	(85, 0.5899642219071468)	(90, 0.6972764028179761)	(95, 0.8417042342524332)	(100, 1.0381883263801899)	(105, 1.3057632537321704)	(110, 1.6652601996621539)	(115, 2.1465775826794276)	(120, 2.782293736123539)	(125, 3.6076329117818573)	(130, 4.659306403205635)	(135, 5.966108746368299)	(140, 6.868897080661647)
270M_2 - polya	(1, 0.0004339538229736974)	(2, 0.0014408466795048339)	(3, 0.00634432490038735)	(4, 0.02303654868085487)	(5, 0.052579405025511235)	(6, 0.08242522913136813)	(7, 0.11487177649426325)	(8, 0.14918012574281972)	(9, 0.1845463624215747)	(10, 0.2997643020806156)	(15, 0.4942034118149488)	(20, 0.6820324249296632)	(25, 0.8659936496157444)	(30, 1.0488615906381402)	(35, 1.2325522441157035)	(40, 1.4154637804991173)	(45, 1.5973474262603715)	(50, 1.7783123697807315)	(55, 1.9594556943195678)	(60, 2.1393805485158324)	(65, 2.31893684193065)	(70, 2.4991218684419794)	(75, 2.6786619635804554)	(80, 2.85656703270205)	(85, 3.0322211413483493)	(90, 3.2068609579254668)	(95, 3.3816171621177795)	(100, 3.559246060626689)	(105, 3.737007545027134)	(110, 3.913400175087369)	(115, 4.089309056623284)	(120, 4.266388613587628)	(125, 4.441005432611916)	(130, 4.613596667178646)	(135, 4.785562568287108)	(140, 4.889701686843503)
270M_2 - polyg	(1, 0.06468811653751924)	(2, 0.0661259635362201)	(3, 0.06634394034130828)	(4, 0.066513922253533)	(5, 0.06663390948569163)	(6, 0.06676189586666083)	(7, 0.06689688150283929)	(8, 0.06704586564943624)	(9, 0.067153854158379)	(10, 0.06753821325872714)	(15, 0.06792937163556426)	(20, 0.06817534546148944)	(25, 0.06838512313904678)	(30, 0.06869888975114158)	(35, 0.06923343287040826)	(40, 0.06999635168821686)	(45, 0.07107103733091762)	(50, 0.07236529960846866)	(55, 0.07388353805271582)	(60, 0.07564135100383969)	(65, 0.07750835233622791)	(70, 0.07953693647458973)	(75, 0.1507741561220471)	(80, 0.24158129333457629)	(85, 0.2630804056140386)	(90, 0.2741316296532886)	(95, 0.2869936610045325)	(100, 0.30625401151063514)	(105, 0.328872204708697)	(110, 0.34607577407688045)	(115, 0.36277019762327095)	(120, 0.38033032904968583)	(125, 0.4004375894361081)	(130, 0.4234715383935995)	(135, 0.4505856531806451)	(140, 0.4690770855073312)
271M_1 - illumina_universal_adapter	(1, 0.1209184627170967)	(2, 0.12331427161960373)	(3, 0.15048169627114075)	(4, 0.1518051786730726)	(5, 0.16246074078367587)	(6, 0.17444415322493023)	(7, 0.18003073405684725)	(8, 0.18295069440566392)	(9, 0.18476338482415144)	(10, 0.18979589389803198)	(15, 0.19708072541599225)	(20, 0.20547195327853784)	(25, 0.2176366347616409)	(30, 0.2319411645243032)	(35, 0.2449412123749623)	(40, 0.258430905035049)	(45, 0.27348169541939465)	(50, 0.2908018431698251)	(55, 0.31101901964329615)	(60, 0.3345639026115256)	(65, 0.36265710975510707)	(70, 0.39712137772858225)	(75, 0.44005287552431793)	(80, 0.49473999827859927)	(85, 0.5662314164015679)	(90, 0.6614000657329593)	(95, 0.7895077023290646)	(100, 0.9648896498500174)	(105, 1.2028908786794037)	(110, 1.5270377080883972)	(115, 1.9651060151991253)	(120, 2.5474893768151614)	(125, 3.307346487015797)	(130, 4.276332380418724)	(135, 5.483855010712017)	(140, 6.320302222229599)
271M_1 - polya	(1, 0.008178946526790156)	(2, 0.01042187792412353)	(3, 0.012801307093933378)	(4, 0.01569615185261438)	(5, 0.01883887656611265)	(6, 0.02234195539894881)	(7, 0.026308034676025157)	(8, 0.029372136672576984)	(9, 0.03238819145321709)	(10, 0.0411382446600488)	(15, 0.05513439865513222)	(20, 0.06822049470156051)	(25, 0.08087766014775873)	(30, 0.0933847872424508)	(35, 0.10595459411426411)	(40, 0.11877861443753757)	(45, 0.1317297414865411)	(50, 0.14502768207585287)	(55, 0.15797596997118893)	(60, 0.1711114236121447)	(65, 0.18512483092566914)	(70, 0.198828333696563)	(75, 0.21072416916699646)	(80, 0.22239112517254137)	(85, 0.23392070981986599)	(90, 0.24515240172853794)	(95, 0.2563574492720224)	(100, 0.26783920509987125)	(105, 0.2798890100576582)	(110, 0.2918975380890482)	(115, 0.3035026879032158)	(120, 0.3147658288986663)	(125, 0.3258634253956574)	(130, 0.3367410966816343)	(135, 0.34738027905954044)	(140, 0.3536220491993445)
271M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005558189295241908)	(4, 0.0009194489954015101)	(5, 0.0012175601304901234)	(6, 0.0015189472121181719)	(7, 0.0018661975452983145)	(8, 0.0022178158071977042)	(9, 0.0024864434234314)	(10, 0.0035784256032431695)	(15, 0.005541591166108769)	(20, 0.007622035615086153)	(25, 0.009503739307337795)	(30, 0.011456858634149126)	(35, 0.013373724152590707)	(40, 0.015627793768158163)	(45, 0.027373154094213557)	(50, 0.04349539739339049)	(55, 0.04912893345903941)	(60, 0.05402057683172421)	(65, 0.08149069894350505)	(70, 0.14822391391616194)	(75, 0.19594244319175644)	(80, 0.21234838346124846)	(85, 0.22461440089063817)	(90, 0.2395280383131994)	(95, 0.25795196165098355)	(100, 0.277859888771132)	(105, 0.2975347868941085)	(110, 0.31796249753184724)	(115, 0.33951167386825276)	(120, 0.3638141740728356)	(125, 0.39283534767282113)	(130, 0.42806924468662766)	(135, 0.4716681619906643)	(140, 0.5013115470367066)
271M_2 - illumina_universal_adapter	(1, 0.09160420110004974)	(2, 0.09397161846588166)	(3, 0.12091955469927651)	(4, 0.1222364852081295)	(5, 0.13280796469088726)	(6, 0.14474442189840972)	(7, 0.15028841542531407)	(8, 0.15320728379195092)	(9, 0.15507457331942906)	(10, 0.16162843196622334)	(15, 0.17515263126319208)	(20, 0.19224542832378572)	(25, 0.21021443188546035)	(30, 0.22402036258482055)	(35, 0.23604112081662443)	(40, 0.2490632267073158)	(45, 0.26403823352838246)	(50, 0.28118999762668595)	(55, 0.301140293655411)	(60, 0.3244285608113847)	(65, 0.35221470256600307)	(70, 0.386326697088271)	(75, 0.42877968829281315)	(80, 0.48260370833217137)	(85, 0.5524923150116122)	(90, 0.6453166969993835)	(95, 0.7707662305733912)	(100, 0.9433708306182105)	(105, 1.1778908202583573)	(110, 1.4967815026430444)	(115, 1.9280447952056217)	(120, 2.5016007912764953)	(125, 3.25090389370925)	(130, 4.208101184291801)	(135, 5.403103146911373)	(140, 6.231707524017111)
271M_2 - polya	(1, 0.00040403340653035483)	(2, 0.0014457844060707832)	(3, 0.006621779938378572)	(4, 0.024219072766045242)	(5, 0.055731494511053296)	(6, 0.08727230779273645)	(7, 0.1215212368803528)	(8, 0.15728037732264882)	(9, 0.1942767335746716)	(10, 0.313229846764543)	(15, 0.5121009861625547)	(20, 0.7012735766323501)	(25, 0.8843919995008331)	(30, 1.0661965494105665)	(35, 1.2472161825294514)	(40, 1.42873485150451)	(45, 1.6099300753579082)	(50, 1.7901772402827945)	(55, 1.971093353491033)	(60, 2.152185494226658)	(65, 2.3335200550061996)	(70, 2.5149657795716474)	(75, 2.6968629295702287)	(80, 2.87752089819116)	(85, 3.0566404823171722)	(90, 3.2348428014121424)	(95, 3.4138748085673343)	(100, 3.5952508646697097)	(105, 3.776769096851896)	(110, 3.956849188503271)	(115, 4.136208135123098)	(120, 4.3150001245951675)	(125, 4.491659909662935)	(130, 4.667585009120126)	(135, 4.841766868225465)	(140, 4.947304980336349)
271M_2 - polyg	(1, 0.06718311163073933)	(2, 0.06865728757348522)	(3, 0.0688603962589302)	(4, 0.0690274695324414)	(5, 0.06915523144747938)	(6, 0.06926115371892112)	(7, 0.06940201942011684)	(8, 0.06955380494311068)	(9, 0.06966627910763129)	(10, 0.07006332382821084)	(15, 0.07045469024145538)	(20, 0.07065867251264422)	(25, 0.07082792975051504)	(30, 0.07103780872547487)	(35, 0.07137938075132)	(40, 0.07195005063848961)	(45, 0.07272033486812886)	(50, 0.0737079235515506)	(55, 0.07494273700048175)	(60, 0.07635881949126166)	(65, 0.07792887146939503)	(70, 0.07965464010636955)	(75, 0.14321062372864607)	(80, 0.22821925246263275)	(85, 0.25142649454086446)	(90, 0.2627320044448916)	(95, 0.2758325146560935)	(100, 0.29408914632393046)	(105, 0.3154537776719477)	(110, 0.33268307250501783)	(115, 0.34972039687087697)	(120, 0.36771582640130307)	(125, 0.387962923186501)	(130, 0.4108510880717916)	(135, 0.43715737557632905)	(140, 0.45461511308141583)
272M_1 - illumina_universal_adapter	(1, 0.11313854066566452)	(2, 0.11498212092108145)	(3, 0.13970290643357974)	(4, 0.140872977165572)	(5, 0.14995816720651386)	(6, 0.16052198160347997)	(7, 0.1655550552341953)	(8, 0.16796929380502623)	(9, 0.16963481981861825)	(10, 0.17420672190373737)	(15, 0.18069917676123629)	(20, 0.18805580295141827)	(25, 0.19861453008433222)	(30, 0.21103740771426524)	(35, 0.22230724588751105)	(40, 0.23405219028614796)	(45, 0.24714194187769856)	(50, 0.26236635370260586)	(55, 0.2804730323911411)	(60, 0.3015073209489862)	(65, 0.3265280338551672)	(70, 0.35731416523017806)	(75, 0.3960273599253915)	(80, 0.4456084989337315)	(85, 0.509654499125455)	(90, 0.5944826365263525)	(95, 0.7095096580823288)	(100, 0.8670777087546637)	(105, 1.0819164086428459)	(110, 1.3768726606050365)	(115, 1.7789520952693265)	(120, 2.3207817700414206)	(125, 3.036930971267973)	(130, 3.9604377188159448)	(135, 5.122721619027535)	(140, 5.93231611940313)
272M_1 - polya	(1, 0.005740866890143541)	(2, 0.007583341218592614)	(3, 0.009676860968745133)	(4, 0.012130912910418899)	(5, 0.014704404964621175)	(6, 0.017705890755383952)	(7, 0.02101482424321086)	(8, 0.0238847047247987)	(9, 0.02666058141411873)	(10, 0.034207427042772076)	(15, 0.046241018380019594)	(20, 0.0578915166156016)	(25, 0.06896494215935603)	(30, 0.07966854572505921)	(35, 0.0909096297971407)	(40, 0.10201977211622797)	(45, 0.11325156640177947)	(50, 0.12460810924930518)	(55, 0.13606595500708654)	(60, 0.14734618889383017)	(65, 0.1589102036405258)	(70, 0.1708075447753334)	(75, 0.18191967776296275)	(80, 0.1927402884018652)	(85, 0.20361796487230902)	(90, 0.21438770287069003)	(95, 0.2248862675765526)	(100, 0.2354624683555587)	(105, 0.2466190596072959)	(110, 0.2574945242238041)	(115, 0.26779601274399456)	(120, 0.2777880628985788)	(125, 0.28789004219376807)	(130, 0.29782259347748163)	(135, 0.3074760087945082)	(140, 0.3132217417633103)
272M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0009057541866745444)	(4, 0.0012696041590993614)	(5, 0.0015903229797777714)	(6, 0.0018844995532276234)	(7, 0.0022162776435845997)	(8, 0.0025270431215523004)	(9, 0.0028267493298414353)	(10, 0.0039786828595608555)	(15, 0.006056719632163381)	(20, 0.00810157859573021)	(25, 0.010060396441197796)	(30, 0.012033148966460374)	(35, 0.0141775413571343)	(40, 0.016608368832483074)	(45, 0.048647073091288386)	(50, 0.08585753422257825)	(55, 0.0953645248090606)	(60, 0.10130689159274761)	(65, 0.11858899113404893)	(70, 0.16048902497983783)	(75, 0.1986156360113001)	(80, 0.2153518500012674)	(85, 0.22799834606410102)	(90, 0.24165831360027842)	(95, 0.25788934015132886)	(100, 0.27592258528919833)	(105, 0.2949000708722238)	(110, 0.31552959015983345)	(115, 0.33833291949546196)	(120, 0.3653314721909577)	(125, 0.39868047872127943)	(130, 0.43977584010525594)	(135, 0.49207136626350323)	(140, 0.5289073605234769)
272M_2 - illumina_universal_adapter	(1, 0.08868649540635538)	(2, 0.0905278638078366)	(3, 0.11510156103360997)	(4, 0.11626057249592367)	(5, 0.12528714840756913)	(6, 0.13585317465847097)	(7, 0.1409183201712541)	(8, 0.14335135950053862)	(9, 0.14512858413788415)	(10, 0.15099751737090547)	(15, 0.162734941466161)	(20, 0.17753578326237926)	(25, 0.1930411005371222)	(30, 0.20491300535166906)	(35, 0.21526757836631671)	(40, 0.22658762562390317)	(45, 0.23967693484466657)	(50, 0.2548652934504218)	(55, 0.27282554740841275)	(60, 0.2936609902974373)	(65, 0.3185310759505962)	(70, 0.349037628988133)	(75, 0.3872681971545738)	(80, 0.4361357920832528)	(85, 0.498700071323442)	(90, 0.5814411033506005)	(95, 0.6942144669314787)	(100, 0.8492579075215907)	(105, 1.0608120043152387)	(110, 1.3504458721519228)	(115, 1.7456238801660002)	(120, 2.2783776546836827)	(125, 2.9839533093559525)	(130, 3.895288003510301)	(135, 5.044046416905005)	(140, 5.844800800655735)
272M_2 - polya	(1, 0.0004611715455961966)	(2, 0.0014664591593778339)	(3, 0.0063048896437504)	(4, 0.023882492870862988)	(5, 0.056028472045550386)	(6, 0.08795437175363433)	(7, 0.12246703463953483)	(8, 0.15855121974675954)	(9, 0.1957601325802944)	(10, 0.31582177606474116)	(15, 0.5149218080879624)	(20, 0.7017248169701927)	(25, 0.8831324505470379)	(30, 1.062831869329332)	(35, 1.2432563338317526)	(40, 1.4240340314077067)	(45, 1.6046007181181938)	(50, 1.7855250616100853)	(55, 1.96652328102343)	(60, 2.1466365376770957)	(65, 2.3269842508479472)	(70, 2.507563987496655)	(75, 2.688854171629514)	(80, 2.869056123626002)	(85, 3.0475604777268304)	(90, 3.225333150545724)	(95, 3.403762743983525)	(100, 3.584406845581762)	(105, 3.7651843219723227)	(110, 3.944420136169691)	(115, 4.122374402196707)	(120, 4.3001099158694815)	(125, 4.477001164894994)	(130, 4.6524976188286455)	(135, 4.827232089081444)	(140, 4.932234103859194)
272M_2 - polyg	(1, 0.0629062318586505)	(2, 0.06439038584951404)	(3, 0.06462484236669963)	(4, 0.06479183733884598)	(5, 0.06488694705808165)	(6, 0.06501634051332086)	(7, 0.0651556873112708)	(8, 0.06528729262044573)	(9, 0.06539567346329568)	(10, 0.06574780060986121)	(15, 0.06613819282951458)	(20, 0.0663779577961459)	(25, 0.06661219312793792)	(30, 0.06690039769576137)	(35, 0.06735050997167899)	(40, 0.06801871104565792)	(45, 0.0689412753222439)	(50, 0.0701564678745247)	(55, 0.07169481228681322)	(60, 0.07338798647460167)	(65, 0.07511610795457437)	(70, 0.07714017549114548)	(75, 0.13880268188174444)	(80, 0.21683556162134382)	(85, 0.23771944411156043)	(90, 0.2482564950759044)	(95, 0.26022572146362266)	(100, 0.27673212382966933)	(105, 0.29534775010881215)	(110, 0.31074225350137585)	(115, 0.32613963230405596)	(120, 0.34253831738343343)	(125, 0.36086972043183707)	(130, 0.3821506307035142)	(135, 0.4063916650973563)	(140, 0.42252492770444816)
69M_1 - illumina_universal_adapter	(1, 0.11622472016334684)	(2, 0.11852664089236789)	(3, 0.1395218552097802)	(4, 0.14061659354726855)	(5, 0.1484993460529623)	(6, 0.156469083581596)	(7, 0.16061254089383392)	(8, 0.1626885127218036)	(9, 0.16397101141368675)	(10, 0.16762756475605337)	(15, 0.17305903688358037)	(20, 0.1794740762461066)	(25, 0.1896222582029051)	(30, 0.20186020229618817)	(35, 0.2129874961575427)	(40, 0.2247669655323544)	(45, 0.23841321836289478)	(50, 0.25482962593618425)	(55, 0.2745775598880745)	(60, 0.29882304384314595)	(65, 0.32841959181917313)	(70, 0.3655405564380999)	(75, 0.41185562582318863)	(80, 0.47104065974872655)	(85, 0.5478985044325553)	(90, 0.6493531677006958)	(95, 0.7842707571352487)	(100, 0.9673071883086358)	(105, 1.2132378220808766)	(110, 1.5472989230341878)	(115, 1.9982632273297773)	(120, 2.6039838588894164)	(125, 3.3990072378116003)	(130, 4.437554099115106)	(135, 5.752233854948571)	(140, 6.657589673443585)
69M_1 - polya	(1, 0.005748437064776537)	(2, 0.008533018591818134)	(3, 0.010964356062286454)	(4, 0.014042777239991106)	(5, 0.017360937627262006)	(6, 0.020945357048166215)	(7, 0.02517686017630676)	(8, 0.029260913082634434)	(9, 0.032980053209799326)	(10, 0.042915652256876276)	(15, 0.058608174712431224)	(20, 0.07483257875947519)	(25, 0.08934316569600928)	(30, 0.10302209094980028)	(35, 0.11653065285378447)	(40, 0.1302409775792709)	(45, 0.14413885050055955)	(50, 0.15760964817507225)	(55, 0.17063491280525828)	(60, 0.18297745108466187)	(65, 0.19518420786484209)	(70, 0.2077229928423419)	(75, 0.21919228635486526)	(80, 0.23080860577201637)	(85, 0.24223016360121896)	(90, 0.2536010155268055)	(95, 0.2649143724738144)	(100, 0.2763896064269288)	(105, 0.2887580280546217)	(110, 0.30137594818713775)	(115, 0.31372803360320545)	(120, 0.3259089070350962)	(125, 0.3380861737709138)	(130, 0.34996832790451315)	(135, 0.36114717630385407)	(140, 0.36791800562606397)
69M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007202784216614262)	(4, 0.001117014989704686)	(5, 0.0015042044210838033)	(6, 0.0018754819580226827)	(7, 0.0022616105964391175)	(8, 0.002748514566310391)	(9, 0.0031452511343536506)	(10, 0.004401230002169747)	(15, 0.006886031437957264)	(20, 0.00946312186149816)	(25, 0.011621199064779465)	(30, 0.013953458472533237)	(35, 0.016435926163802857)	(40, 0.019359471568955858)	(45, 0.043417831645410174)	(50, 0.06986021782619717)	(55, 0.07682453578480042)	(60, 0.08179413865637544)	(65, 0.09434374372209466)	(70, 0.1380537177494276)	(75, 0.1870839928017984)	(80, 0.2049895415361016)	(85, 0.21671003082218818)	(90, 0.2297378413554846)	(95, 0.2457394788803653)	(100, 0.2642761994274646)	(105, 0.28394096721108053)	(110, 0.30514515774214124)	(115, 0.3282513500552917)	(120, 0.35541422681633267)	(125, 0.38913280408675155)	(130, 0.4309042850540784)	(135, 0.4835643814661562)	(140, 0.5199349411432815)
69M_2 - illumina_universal_adapter	(1, 0.08942484675413584)	(2, 0.09169812607316447)	(3, 0.11266682056650969)	(4, 0.1137467078025205)	(5, 0.1215530832149011)	(6, 0.12952494232946019)	(7, 0.13364081902466834)	(8, 0.13572421640337679)	(9, 0.13711491597745357)	(10, 0.14222496783728775)	(15, 0.15360324531361294)	(20, 0.16812507665555146)	(25, 0.1835560075665089)	(30, 0.19528455887911184)	(35, 0.20539709819236424)	(40, 0.21673973302514327)	(45, 0.23037559008464936)	(50, 0.24666470250241695)	(55, 0.26617968631970207)	(60, 0.2901132971437449)	(65, 0.31937505886074946)	(70, 0.356090588409339)	(75, 0.40190750941915193)	(80, 0.46033959249977796)	(85, 0.5357456359348793)	(90, 0.6349242618222883)	(95, 0.7671521046206635)	(100, 0.9477192219355182)	(105, 1.1905958327681958)	(110, 1.5198704237152914)	(115, 1.9647107702373148)	(120, 2.5625019744009014)	(125, 3.348464908470222)	(130, 4.3776139927587305)	(135, 5.682407370338586)	(140, 6.58193073696618)
69M_2 - polya	(1, 0.0004953903135727335)	(2, 0.0016516546428966725)	(3, 0.00662359125898961)	(4, 0.020843520923748696)	(5, 0.04413641279833131)	(6, 0.06791726943574788)	(7, 0.09546075871179933)	(8, 0.12624921366069658)	(9, 0.15942127039674145)	(10, 0.27351994930428003)	(15, 0.470830834900708)	(20, 0.6611016619209973)	(25, 0.8451746999775176)	(30, 1.0277428971371765)	(35, 1.2089753437982256)	(40, 1.387891018628776)	(45, 1.5644824960780894)	(50, 1.738643272532712)	(55, 1.9130773092545212)	(60, 2.0875735084439437)	(65, 2.26044987677935)	(70, 2.4313945411297118)	(75, 2.6009919984174665)	(80, 2.768539367225541)	(85, 2.9351209901203896)	(90, 3.10386323612163)	(95, 3.2740865612573673)	(100, 3.445986575749921)	(105, 3.6184328986182557)	(110, 3.7908261818384568)	(115, 3.9642257332630577)	(120, 4.138498105137355)	(125, 4.312544315952008)	(130, 4.486129293986486)	(135, 4.659644684002611)	(140, 4.764706467661059)
69M_2 - polyg	(1, 0.06606512492290421)	(2, 0.06774223859690527)	(3, 0.06800637604461322)	(4, 0.06823550732455264)	(5, 0.06838613992525355)	(6, 0.0685473804555813)	(7, 0.06871604653664781)	(8, 0.06891759719955749)	(9, 0.0690512571128555)	(10, 0.0694982752673299)	(15, 0.06998878593327432)	(20, 0.07029790100259999)	(25, 0.07055737096127213)	(30, 0.0708942788062201)	(35, 0.07141640110245243)	(40, 0.07218208146291666)	(45, 0.0732651510778155)	(50, 0.07467812730410862)	(55, 0.07657206705968198)	(60, 0.0785797238208549)	(65, 0.08083496965951793)	(70, 0.08348270889437347)	(75, 0.1418543267761265)	(80, 0.21739530307608107)	(85, 0.23649954785821553)	(90, 0.2465565016202233)	(95, 0.25792841433877245)	(100, 0.2741231161828613)	(105, 0.2933675977946623)	(110, 0.30946725258929486)	(115, 0.3258189517918607)	(120, 0.3433901385843264)	(125, 0.36349046795841977)	(130, 0.38696645269836133)	(135, 0.4146279021518631)	(140, 0.43339969441949283)
70M_1 - illumina_universal_adapter	(1, 0.08835412831311294)	(2, 0.0898765985434166)	(3, 0.10507799232518202)	(4, 0.10589908796087118)	(5, 0.11302937651337196)	(6, 0.12058769427467071)	(7, 0.12441241071962283)	(8, 0.12631205520322372)	(9, 0.12744993483255296)	(10, 0.13057624322196149)	(15, 0.1350938584356113)	(20, 0.1404423164847546)	(25, 0.1482580874582759)	(30, 0.157754402815449)	(35, 0.166968261273945)	(40, 0.17700808896803238)	(45, 0.18880665053985396)	(50, 0.20255444017688964)	(55, 0.21885387720617536)	(60, 0.23847138818623703)	(65, 0.2618350023258726)	(70, 0.2909837914450141)	(75, 0.32775531460242197)	(80, 0.3744747027427201)	(85, 0.4361359124960818)	(90, 0.5187298695161433)	(95, 0.6293756318860656)	(100, 0.7819678329268928)	(105, 0.9920055798057176)	(110, 1.2827670927160637)	(115, 1.6812864422108338)	(120, 2.22396793628959)	(125, 2.945564156376361)	(130, 3.8980052164894397)	(135, 5.109877534698389)	(140, 5.956345343373825)
70M_1 - polya	(1, 0.00631131187329081)	(2, 0.00905853894857083)	(3, 0.011366082554417293)	(4, 0.01438135762431584)	(5, 0.01771871407905246)	(6, 0.021341070180241194)	(7, 0.02531623253521637)	(8, 0.02863557785987981)	(9, 0.03228018300410012)	(10, 0.041348892943771094)	(15, 0.0559076072253958)	(20, 0.07030231427553059)	(25, 0.0838769851682158)	(30, 0.09709100966814153)	(35, 0.1100117705913463)	(40, 0.12306433060755717)	(45, 0.1357439542834292)	(50, 0.1486941687016948)	(55, 0.1609993727676926)	(60, 0.1729504992060164)	(65, 0.1849465475216992)	(70, 0.19698878908862857)	(75, 0.20767956021312547)	(80, 0.2181385174987982)	(85, 0.228803225458601)	(90, 0.23957430503365953)	(95, 0.25007203922290155)	(100, 0.26131585798846907)	(105, 0.27357338553368493)	(110, 0.2862286412100462)	(115, 0.2981681133877344)	(120, 0.30963950807916785)	(125, 0.3208773937665937)	(130, 0.3325142789590525)	(135, 0.34324848869137287)	(140, 0.3497464806304811)
70M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008730100694295161)	(4, 0.0012819686699147021)	(5, 0.0016951651833582836)	(6, 0.0020903505667286834)	(7, 0.0024982496889742706)	(8, 0.002944290027845419)	(9, 0.0033892708884769684)	(10, 0.004800919694918579)	(15, 0.007455548372057652)	(20, 0.010240069081371553)	(25, 0.012616902564087784)	(30, 0.015119390166020453)	(35, 0.01766001898457868)	(40, 0.02041402672059213)	(45, 0.02833405035288995)	(50, 0.03732139236375973)	(55, 0.04112873336558244)	(60, 0.044654888842615585)	(65, 0.05492568279293551)	(70, 0.09832530181727428)	(75, 0.1451612325639282)	(80, 0.15995811755381478)	(85, 0.16889079048752126)	(90, 0.1791308595688928)	(95, 0.19187278056525325)	(100, 0.20634228677910374)	(105, 0.22094994895539793)	(110, 0.2364660077743242)	(115, 0.2527830321423873)	(120, 0.2710702622448085)	(125, 0.29293047676245315)	(130, 0.31937547741413824)	(135, 0.3512681032781931)	(140, 0.3728685337314881)
